Presentacion ml,Fecha,Hora,Tiempo 0,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Temperatura Zona 1,Temperatura Zona 2,Temperatura Zona 3,Temperatura Zona 4,Temperatura Zona 5,Temperatura Zona 6,Temperatura Zona 7,Maquina,Produccion Aceptada,Botella Defectuosa,Produccion Total,Preforma,Turno,Numero de bolsas,Numero de lote,Empleado,Color,Supervisor,Reviso,Observaciones,Goal de piezas,Goal de bolsas,Goal Total
300,07/05/2021,07:00,0.90,1.40,2.00,2.40,2.40,370.00,204.00,302.00,360.00,0.00,0.00,0.00,3.00,5280.00,275.00,5555.00,20.00,1.00,16.00,Uknown,Polo,Cristal,Uknown,"Sara, Rayo",NONE,NONE,NONE,NONE
300,07/05/2021,08:00,1.40,0.90,2.90,2.40,2.40,368.00,304.00,302.00,350.00,0.00,0.00,0.00,3.00,5280.00,275.00,5555.00,20.00,1.00,16.00,Uknown,Polo,Cristal,Uknown,"Sara, Rayo",NONE,NONE,NONE,NONE
300,07/05/2021,09:00,1.00,0.90,2.90,2.40,2.40,368.00,304.00,302.00,350.00,0.00,0.00,0.00,3.00,5280.00,275.00,5555.00,20.00,1.00,16.00,Uknown,Polo,Cristal,Uknown,"Sara, Rayo",NONE,NONE,NONE,NONE
300,07/05/2021,10:00,1.00,0.90,2.90,2.40,2.40,368.00,303.00,301.00,350.00,0.00,0.00,0.00,3.00,5280.00,275.00,5555.00,20.00,1.00,16.00,Uknown,Polo,Cristal,Uknown,"Sara, Rayo",NONE,NONE,NONE,NONE
300,07/05/2021,11:00,1.00,0.90,2.90,2.40,2.40,368.00,303.00,301.00,350.00,0.00,0.00,0.00,3.00,5280.00,275.00,5555.00,20.00,1.00,16.00,Uknown,Polo,Cristal,Uknown,"Sara, Rayo",NONE,NONE,NONE,NONE
300,07/05/2021,12:00,0.90,1.40,2.00,2.40,2.40,365.00,301.00,301.00,350.00,0.00,0.00,0.00,3.00,5280.00,275.00,5555.00,20.00,1.00,16.00,Uknown,Polo,Cristal,Uknown,"Sara, Rayo",NONE,NONE,NONE,NONE
300,07/05/2021,13:00,0.90,1.40,2.00,2.40,2.40,365.00,301.00,301.00,350.00,0.00,0.00,0.00,3.00,5280.00,275.00,5555.00,20.00,1.00,16.00,Uknown,Polo,Cristal,Uknown,"Sara, Rayo",NONE,NONE,NONE,NONE
300,07/05/2021,14:00,0.90,1.40,2.00,2.40,2.40,365.00,301.00,301.00,350.00,0.00,0.00,0.00,3.00,5280.00,275.00,5555.00,20.00,1.00,16.00,Uknown,Polo,Cristal,Uknown,"Sara, Rayo",NONE,NONE,NONE,NONE
300,07/05/2021,15:00,0.90,1.40,2.00,2.40,2.40,365.00,301.00,301.00,350.00,0.00,0.00,0.00,3.00,5280.00,275.00,5555.00,20.00,1.00,16.00,Uknown,Polo,Cristal,Uknown,"Sara, Rayo",NONE,NONE,NONE,NONE
300,07/05/2021,16:00,0.00,0.00,0.00,0.00,0.00,333.00,281.00,297.00,360.00,0.00,0.00,0.00,3.00,5280.00,275.00,5555.00,20.00,1.00,16.00,Uknown,Polo,Cristal,Uknown,"Sara, Rayo",NONE,NONE,NONE,NONE
300,07/05/2021,17:00,0.00,0.00,0.00,0.00,0.00,333.00,287.00,297.00,360.00,0.00,0.00,0.00,3.00,5280.00,275.00,5555.00,20.00,1.00,16.00,Uknown,Polo,Cristal,Uknown,"Sara, Rayo",NONE,NONE,NONE,NONE
1500,07/05/2021,07:00,0.00,0.00,0.00,0.00,0.00,42.00,25.40,24.20,24.20,24.10,30.70,24.50,5.00,6320.00,135.00,6455.00,35.70,1.00,79.00,Uknown,Merary,Cristal,Guiliano,Beatriz,"3259, 45 Desperdicio, 1 precalentado , 80 Segunda, 9 Quemadas",4800,60,NONE
1500,07/05/2021,08:00,1.30,6.10,0.70,4.90,2.20,42.00,25.40,24.20,24.20,24.10,30.70,24.50,5.00,6320.00,135.00,6455.00,35.70,1.00,79.00,Uknown,Merary,Cristal,Guiliano,Beatriz,"3259, 45 Desperdicio, 1 precalentado , 80 Segunda, 9 Quemadas",4800,60,NONE
1500,07/05/2021,09:00,1.30,6.10,0.70,4.90,2.20,42.30,25.90,24.90,24.90,24.40,31.00,24.80,5.00,6320.00,135.00,6455.00,35.70,1.00,79.00,Uknown,Merary,Cristal,Guiliano,Beatriz,"3259, 45 Desperdicio, 1 precalentado , 80 Segunda, 9 Quemadas",4800,60,NONE
1500,07/05/2021,10:00,1.30,6.10,0.70,5.00,2.20,42.30,25.90,24.90,24.90,24.40,31.00,24.80,5.00,6320.00,135.00,6455.00,35.70,1.00,79.00,Uknown,Merary,Cristal,Guiliano,Beatriz,"3259, 45 Desperdicio, 1 precalentado , 80 Segunda, 9 Quemadas",4800,60,NONE
1500,07/05/2021,11:00,1.30,6.10,0.70,5.00,2.20,42.30,25.90,24.90,24.90,24.40,31.00,24.80,5.00,6320.00,135.00,6455.00,35.70,1.00,79.00,Uknown,Merary,Cristal,Guiliano,Beatriz,"3259, 45 Desperdicio, 1 precalentado , 80 Segunda, 9 Quemadas",4800,60,NONE
1500,07/05/2021,12:00,1.30,6.10,0.70,5.00,2.20,42.30,25.90,24.90,24.90,24.40,31.00,24.80,5.00,6320.00,135.00,6455.00,35.70,1.00,79.00,Uknown,Merary,Cristal,Guiliano,Beatriz,"3259, 45 Desperdicio, 1 precalentado , 80 Segunda, 9 Quemadas",4800,60,NONE
1500,07/05/2021,13:00,1.30,6.10,0.70,5.00,2.20,42.30,25.90,24.90,24.90,24.40,31.00,24.80,5.00,6320.00,135.00,6455.00,35.70,1.00,79.00,Uknown,Merary,Cristal,Guiliano,Beatriz,"3259, 45 Desperdicio, 1 precalentado , 80 Segunda, 9 Quemadas",4800,60,NONE
1500,07/05/2021,14:00,1.30,6.10,0.70,5.00,2.20,42.30,25.90,24.90,24.90,24.40,31.00,24.80,5.00,6320.00,135.00,6455.00,35.70,1.00,79.00,Uknown,Merary,Cristal,Guiliano,Beatriz,"3259, 45 Desperdicio, 1 precalentado , 80 Segunda, 9 Quemadas",4800,60,NONE
1500,07/05/2021,15:00,1.30,6.10,0.70,5.00,2.20,42.30,25.90,24.90,24.90,24.40,31.00,24.80,5.00,6320.00,135.00,6455.00,35.70,1.00,79.00,Uknown,Merary,Cristal,Guiliano,Beatriz,"3259, 45 Desperdicio, 1 precalentado , 80 Segunda, 9 Quemadas",4800,60,NONE
