total de casos activos en las colonias mostradas,clave_colonia,cuartil,quintil,octil,decil
10,12-003,3,4,6,7
7,10-026,2,2,3,3
6,06-004,1,1,1,1
10,05-218,3,4,6,7
6,08-004,1,1,1,1
6,15-037,1,1,1,1
16,15-040,4,5,8,10
6,03-030,1,1,1,1
6,12-219,1,1,1,1
11,08-010,3,4,6,8
10,02-023,3,4,6,7
8,02-025,2,3,4,5
6,08-012,1,1,1,1
9,03-049,3,3,5,6
6,16-091,1,1,1,1
10,05-072,3,4,6,7
7,15-051,2,2,3,4
8,08-013,2,3,4,5
8,05-223,2,3,4,5
6,07-278,1,1,1,1
6,11-056,1,1,1,1
16,11-057,4,5,8,10
6,08-025,1,1,1,1
17,08-027,4,5,8,10
13,07-285,4,5,7,9
6,12-094,1,1,1,2
19,17-084,4,5,8,10
8,05-230,3,3,5,6
8,15-065,3,3,5,6
21,06-060,4,5,8,10
11,03-137,4,4,7,8
6,03-138,1,1,2,2
15,12-117,4,5,8,10
10,12-121,3,4,6,8
9,03-142,3,4,5,7
7,14-067,2,3,4,5
9,08-036,3,4,5,7
11,10-179,4,4,7,8
8,05-149,3,3,5,6
6,02-069,1,1,2,2
6,13-035,1,2,2,3
6,07-175,1,2,2,3
12,12-147,4,5,7,9
7,07-177,2,3,4,5
22,09-002,4,5,8,10
10,08-041,3,4,6,8
7,08-042,2,3,4,5
20,05-240,4,5,8,10
25,11-032,4,5,8,10
6,16-073,1,2,2,3
6,05-247,1,2,2,3
12,04-045,4,5,7,9
6,02-081,1,2,2,3
16,12-154,4,5,8,10
6,16-094,1,2,2,3
13,12-157,4,5,7,9
6,11-036,1,2,2,3
16,08-048,4,5,8,10
8,02-084,3,3,5,6
10,12-160,3,4,6,8
9,02-111,3,4,6,7
8,15-074,3,3,5,6
25,09-010,4,5,8,10
7,15-027,2,3,4,5
7,02-089,2,3,4,5
8,15-075,3,3,5,6
6,13-064,2,2,2,3
11,10-204,4,4,7,8
9,16-077,3,4,6,7
7,06-036,2,3,4,5
10,12-175,3,4,6,8
19,11-055,4,5,8,10
13,11-058,4,5,8,9
1339,NA,4,5,8,10
7,17-069,2,2,3,3
13,03-129,4,5,7,9
10,02-002,3,4,6,7
7,16-088,2,2,3,3
9,16-089,3,3,5,6
6,16-014,1,1,1,1
7,06-048,2,2,3,3
9,03-017,3,3,5,6
7,15-044,2,2,3,4
6,05-029,1,1,1,1
7,17-016,2,2,3,4
11,16-025,3,4,6,8
9,02-018,3,3,5,6
12,15-045,4,5,7,9
8,15-048,2,3,4,5
7,12-035,2,2,3,4
